rank,feature_value,p_num,p_den,A_num,A_den,s_bits,g_bits
1704,3:3:1;5:-7:1;,2547,46208,1470742880,399018963,4.181271782612976,1.8820158361391954
1705,3:7:1;5:3:1;,637,11552,1103402276,299381719,4.18070546463087,1.881900826835299
1706,-4:2:1;7:-7:1;,2549,46208,4414983792,1197996863,4.180139368864969,1.8817840111754711
1707,-7:7:1;-4:2:1;,1275,23104,441635848,119846685,4.179573495140951,1.881667277687513
1708,-7:7:1;4:-2:1;,2551,46208,4417733168,1198936837,4.179007843284698,1.8815506262843698
1709,4:-2:1;7:-7:1;,319,5776,552388482,149925853,4.178442413122301,1.8814340568791101
1710,-2:-8:1;6:3:1;,1277,23104,2210927172,600173399,4.177312217184447,1.8812002214629473
1711,-6:-3:1;-2:-8:1;,639,11552,368716736,100107231,4.176182905940177,1.8809667141686062
1712,-6:-3:1;2:8:1;,1279,23104,2213673660,601113373,4.175054478005534,1.880733534302879
1713,-9:-8:1;9:8:1;,20,361,39554409,10742560,4.173926931999809,1.8805006811745186
1714,-9:-8:2;,2561,46208,4431467052,1203636707,4.173363489289702,1.8803843769213706
1715,2:8:1;6:3:1;,2563,46208,4434213540,1204576681,4.172237263595593,1.880152012607242
1716,9:8:2;,641,11552,1108896696,301261667,4.17167448026843,1.880035952374667
1717,-2:-7:1;8:8:1;,135,2432,6672116,1812807,4.171111916392754,1.8799190342660022
1718,-8:-8:1;-2:-7:1;,1283,23104,2219163748,602993321,4.170549571797489,1.879802197821121
1719,-8:-8:1;2:7:1;,2567,46208,4439697852,1206456629,4.169987446311753,1.8796854429541114
1720,2:7:1;8:8:1;,321,5776,555133526,150865827,4.169425539764868,1.879568769579182
1721,-3:-5:1;9:7:1;,1285,23104,2221903016,603933295,4.168302382805931,1.8793347293653893
1722,-9:-7:1;-3:-5:1;,643,11552,1111635964,302201641,4.167180099559223,1.8791010152486376
1723,-9:-7:1;3:5:1;,1287,23104,2224640840,604873269,4.166058688666469,1.8788676265447968
1724,3:5:1;9:7:1;,161,2888,278251219,75667907,4.164938148772554,1.8786345625716565
1725,-4:3:1;8:-6:1;,2577,46208,4453384084,1211156499,4.1643782050275515,1.8785167487750272
1726,-8:6:1;-4:3:1;,1289,23104,2227374332,605813243,4.16381847852552,1.8783990167672375
1727,-8:6:1;4:-3:1;,2579,46208,4456113244,1212096473,4.1632589690979565,1.878281366462756
1728,4:-3:1;8:-6:1;,645,11552,1114369456,303141615,4.162699676576555,1.8781637977761712
1729,-6:-2:1;9:5:1;,2581,46208,636977280,173290921,4.162140600793201,1.8780458434040683
1730,-6:2:1;9:-5:1;,1291,23104,2230102048,606753217,4.1615817415799805,1.8779279707651324
1731,-9:-5:1;-6:-2:1;,2583,46208,4461567232,1213976421,4.161023098769171,1.8778101797740478
1732,-9:-5:1;6:2:1;,17,304,29361384,7989779,4.160464672193246,1.8776924703456186
