threshold,selection_probability,actual_selection_cost_bits,baseline_failure_probability,conditional_failure_probability,amplification,gain_bits,gain_ci_low,gain_ci_high,bootstrap_valid_replicates,bootstrap_zero_support_replicates,bootstrap_zero_support_fraction,support_status
0.25,0.53499475121498108,0.90240335745444389,0.071760690006158256,0.070796496872525011,0.98656377003132911,-0.019515787238582546,-0.13107809052195893,0.089005934599620862,10000,0,0,SUPPORTED
0.25431034482758619,0.50475987792015076,0.98633085617167604,0.071760690006158256,0.071120722528869112,0.99108192135228601,-0.012923781528122581,-0.13314644597900635,0.10359540819985046,10000,0,0,SUPPORTED
0.25862068965517243,0.47327646613121033,1.079244909637465,0.071760690006158256,0.071214119215713662,0.99238342342586605,-0.011030457945039537,-0.140380058289405,0.11438929560638436,10000,0,0,SUPPORTED
0.26293103448275862,0.44220155477523804,1.177223997226253,0.071760690006158256,0.071631723642028675,0.99820282714507746,-0.002595104990646848,-0.14248416578137499,0.13149843589011695,10000,0,0,SUPPORTED
0.26724137931034481,0.40913435816764832,1.2893533983441132,0.071760690006158256,0.072048819622536647,1.0040151455672133,0.0057810325057191326,-0.14364550776646401,0.15142385051440196,10000,0,0,SUPPORTED
0.27155172413793105,0.37812915444374084,1.4030490068690795,0.071760690006158256,0.072864815799092236,1.0153862204061754,0.022028586800650164,-0.13825103585996323,0.17581539568034329,10000,0,0,SUPPORTED
0.27586206896551724,0.3449806272983551,1.5354127465772078,0.071760690006158256,0.073588298451321268,1.0254681002232027,0.036282613840589506,-0.13809313174791388,0.20030041824054393,10000,0,0,SUPPORTED
0.28017241379310343,0.31624782085418701,1.6608725561197482,0.071760690006158256,0.074493514553625628,1.0380824731093423,0.053921066835730252,-0.13672357837936955,0.22749416888305196,10000,0,0,SUPPORTED
0.28448275862068967,0.28583863377571106,1.8067271714914692,0.071760690006158256,0.074936079205378772,1.0442497027125577,0.062466732779920632,-0.14432053751467702,0.24817242714348367,10000,0,0,SUPPORTED
0.28879310344827586,0.26016309857368469,1.9425117495886146,0.071760690006158256,0.075524530334922749,1.0524498904405948,0.073751544898473048,-0.14622490432562332,0.26971534111981105,10000,0,0,SUPPORTED
0.29310344827586204,0.2328086793422699,2.102783250512994,0.071760690006158256,0.074413051579633821,1.0369612049890817,0.052361920750156103,-0.18039203023649278,0.2634948946022041,10000,0,0,SUPPORTED
0.29741379310344829,0.20985251665115356,2.252552330074939,0.071760690006158256,0.074166315192952276,1.0335228826058889,0.047570330956470813,-0.19754244508236532,0.27194915256665347,10000,0,0,SUPPORTED
0.30172413793103448,0.1853213906288147,2.4318986815576125,0.071760690006158256,0.07174844099871526,0.99982930755763433,-0.00024627815962647664,-0.26407354885780432,0.24347411616324618,10000,0,0,SUPPORTED
0.30603448275862066,0.16515073180198669,2.5981447325012357,0.071760690006158256,0.071129579326361325,0.99120534265009475,-0.012744131184045495,-0.29762902208378555,0.24631925729492377,10000,0,0,SUPPORTED
0.31034482758620691,0.14398801326751709,2.7959793798815999,0.071760690006158256,0.069035724436000367,0.96202704335864053,-0.055850644997015537,-0.36653965234898511,0.22211077587031663,10000,0,0,SUPPORTED
0.31465517241379309,0.12702670693397522,2.9767962442637579,0.071760690006158256,0.067825449808187152,0.94516161706871271,-0.081367052106486981,-0.41423854612996625,0.212428990086241,10000,0,0,SUPPORTED
0.31896551724137934,0.10917654633522034,3.1952651298387607,0.071760690006158256,0.065984775123417369,0.91951143610456898,-0.12106057711937263,-0.48371607080366319,0.19645371606561093,10000,0,0,SUPPORTED
