dataset,statistic,quintile,quintile_probability,score_min,score_max,mean_margin,median_margin,failure_probability
n4q29d43,S_v2,3,0.20037104189395905,-0.092152199762187872,-0.071938168846611181,4.4136488813359724,4,0.0066854064651810157
n4q29d43,S_v2,4,0.1988016664981842,-0.069857312722948872,-0.050535077288941736,4.5706946271626556,5,0.0053722143405571876
n4q29d43,S_v2,5,0.20346222072839737,-0.050237812128418546,-0,4.4418223791666778,4,0.0061667991991756922
n4q29d43,S_2sum,1,0.19953711636480875,-0.45005945303210465,-0.21759809750297265,4.5121051389456159,4,0.0055733945032442793
n4q29d43,S_2sum,2,0.20061443190206774,-0.21730083234244946,-0.18133174791914389,4.4650511413343335,4,0.0061754861771869257
n4q29d43,S_2sum,3,0.20056780541199259,-0.18103448275862069,-0.15368608799048752,4.4886172313243922,4,0.0057911449135683172
n4q29d43,S_2sum,4,0.20170907187275589,-0.15338882282996433,-0.12009512485136742,4.4717475743967423,4,0.005844706143757393
n4q29d43,S_2sum,5,0.19757157444837503,-0.11979785969084424,-0,4.6380337203325466,5,0.0046483187214022958
n4q29d43,S_2max,1,0.20011934661306441,-0.23305588585017836,-0.13733650416171225,4.5480793458906765,4,0.0045960809462552137
n4q29d43,S_2max,2,0.20076393641647883,-0.13674197384066589,-0.11652794292508918,4.5653736475438027,5,0.0056454390601036195
n4q29d43,S_2max,3,0.20386468543438241,-0.116230677764566,-0.098989298454221164,4.4168005772568844,4,0.0068921982723093873
n4q29d43,S_2max,4,0.19951534771826118,-0.098692033293697981,-0.077586206896551727,4.4493888037627052,4,0.006061519176475288
n4q29d43,S_2max,5,0.19573668381781317,-0.077288941736028544,-0,4.5971038599003924,5,0.0048136435287718321
n4q29d43,S_u1,1,0.20240020751953125,0,0.18103448275862069,4.6590111693047547,5,0.0040761241677739453
n4q29d43,S_u1,2,0.18010902404785156,0.18965517241379309,0.22413793103448276,4.541681379658324,4,0.0052418889125692321
n4q29d43,S_u1,3,0.22787284851074219,0.23275862068965517,0.26724137931034481,4.5240867677264838,4,0.0045889143599702016
n4q29d43,S_u1,4,0.19412517547607422,0.27586206896551724,0.31034482758620691,4.4329847921217933,4,0.0084173877683549909
n4q29d43,S_u1,5,0.19549274444580078,0.31896551724137934,0.47413793103448276,4.410602633130762,4,0.0059387273429153519
n4q29d43,S_v1,1,0.18305586278438568,-0.48275862068965519,-0.31896551724137934,4.5743740311731793,5,0.0049241127799637451
n4q29d43,S_v1,2,0.22852636128664017,-0.31034482758620691,-0.27586206896551724,4.397815059598666,4,0.0060597011931519031
n4q29d43,S_v1,3,0.17504152655601501,-0.25862068965517243,-0.2413793103448276,4.6577615458956378,5,0.0052852843383257688
