key_id,x_numerator,coordinate_margin,Nz,Ez
9,5,-3,1207959552,1207959552
9,5,-2,1207959552,1207959552
9,5,-1,16508780544,16508780544
9,5,1,106703093760,0
9,5,2,306553290752,0
9,5,3,661559181312,0
9,5,4,1799188643840,0
9,5,5,1516794544128,0
9,5,6,2280090763264,0
9,5,7,1738388013056,0
9,5,8,642768699392,0
9,7,-1,8455716864,8455716864
9,7,1,35836133376,0
9,7,2,173946175488,0
9,7,3,259174432768,0
9,7,4,437952446464,0
9,7,5,735647367168,0
9,7,6,753632542720,0
9,7,7,1219502276608,0
9,7,8,224143605760,0
9,9,-1,1073741824,1073741824
9,9,1,15703474176,0
9,9,2,72477573120,0
9,9,3,84959821824,0
9,9,4,160390184960,0
9,9,5,159450660864,0
9,9,6,283736276992,0
9,9,7,255147900928,0
9,9,8,66571993088,0
9,11,-1,4831838208,4831838208
9,11,2,55163486208,0
9,11,3,59190018048,0
9,11,4,460501024768,0
9,11,5,643439788032,0
9,11,6,1176955256832,0
9,11,7,1573434425344,0
9,11,8,424530673664,0
9,13,-1,36641439744,36641439744
9,13,1,14495514624,0
9,13,2,250181844992,0
9,13,3,211795574784,0
9,13,4,695113613312,0
9,13,5,664377753600,0
9,13,6,1509412569088,0
9,13,7,1102732853248,0
9,13,8,463051161600,0
9,14,-2,1207959552,1207959552
9,14,1,11274289152,0
9,14,2,1207959552,0
9,14,3,92207579136,0
9,14,4,258503344128,0
9,14,5,466675040256,0
9,14,6,423993802752,0
9,14,7,622636040192,0
9,14,8,46439333888,0
10,0,-2,3623878656,3623878656
10,0,1,14495514624,0
10,0,2,5234491392,0
10,0,3,38654705664,0
10,0,4,64558727168,0
10,0,5,141868138496,0
10,0,6,233136193536,0
10,0,7,222667210752,0
10,0,8,100394860544,0
10,2,-3,805306368,805306368
10,2,-2,10871635968,10871635968
10,2,-1,10871635968,10871635968
10,2,1,44694503424,0
10,2,2,75698798592,0
10,2,3,143747186688,0
10,2,4,372588412928,0
10,2,5,582236504064,0
10,2,6,1294932639744,0
10,2,7,987305607168,0
10,2,8,599416373248,0
10,4,-3,268435456,268435456
10,4,-1,7918845952,7918845952
10,4,1,402653184,0
10,4,2,72611790848,0
10,4,3,59190018048,0
10,4,4,334873231360,0
10,4,5,371648888832,0
10,4,6,1108504215552,0
10,4,7,722225594368,0
10,4,8,620891209728,0
10,5,-1,5637144576,5637144576
10,5,1,2818572288,0
10,5,2,79725330432,0
10,5,3,115964116992,0
10,5,4,461306331136,0
10,5,5,601698074624,0
10,5,6,1615176138752,0
10,5,7,1290369236992,0
10,5,8,775107379200,0
10,7,-1,19327352832,19327352832
10,7,1,18656264192,0
10,7,2,254879465472,0
10,7,3,237968031744,0
10,7,4,861946249216,0
10,7,5,1073204953088,0
10,7,6,2112318603264,0
10,7,7,2249489121280,0
10,7,8,868791353344,0
10,9,-2,2147483648,2147483648
10,9,-1,8321499136,8321499136
10,9,1,27648851968,0
10,9,2,80933289984,0
10,9,3,133949292544,0
10,9,4,448018776064,0
10,9,5,526938800128,0
10,9,6,754706284544,0
10,9,7,796179562496,0
10,9,8,244813135872,0
10,11,-2,6442450944,6442450944
10,11,-1,15300820992,15300820992
10,11,1,68451041280,0
10,11,2,130459631616,0
10,11,3,275012124672,0
10,11,4,725715255296,0
10,11,5,786381668352,0
10,11,6,1234400444416,0
10,11,7,996700848128,0
10,11,8,434060132352,0
10,13,-1,7247757312,7247757312
10,13,1,3623878656,0
10,13,2,150994944000,0
10,13,3,129251672064,0
10,13,4,759403905024,0
10,13,5,693771436032,0
10,13,6,1570213199872,0
10,13,7,1465254936576,0
10,13,8,442918502400,0
10,14,1,10871635968,0
10,14,2,27783069696,0
10,14,3,59190018048,0
10,14,4,216627412992,0
10,14,5,142136573952,0
10,14,6,511235325952,0
10,14,7,294071042048,0
10,14,8,112474456064,0
11,0,-4,805306368,805306368
11,0,-3,4831838208,4831838208
11,0,-2,7516192768,7516192768
11,0,-1,28856811520,28856811520
11,0,1,26440892416,0
11,0,2,69793218560,0
11,0,3,51136954368,0
11,0,4,249510756352,0
11,0,5,129251672064,0
11,0,6,279843962880,0
11,0,7,196897406976,0
11,0,8,54626615296,0
11,2,-5,1207959552,1207959552
11,2,-4,2818572288,2818572288
11,2,-3,24561844224,24561844224
11,2,-2,25904021504,25904021504
11,2,-1,117440512000,117440512000
11,2,1,94355062784,0
11,2,2,294071042048,0
11,2,3,215553671168,0
11,2,4,763698872320,0
11,2,5,457414017024,0
11,2,6,1119912722432,0
11,2,7,681691840512,0
11,2,8,324538466304,0
11,4,-5,3623878656,3623878656
11,4,-4,1207959552,1207959552
11,4,-3,30198988800,30198988800
11,4,-2,10334765056,10334765056
11,4,-1,99857989632,99857989632
11,4,1,91939143680,0
11,4,2,267361714176,0
11,4,3,320780369920,0
11,4,4,619280596992,0
11,4,5,595658276864,0
11,4,6,990661050368,0
11,4,7,726654779392,0
11,4,8,365609091072,0
11,5,-2,805306368,805306368
