dataset,score,threshold,false_positive_rate,true_positive_rate,auc
e1a,marginal,-0.41325445403415323,0.70347986325871026,0.88043924619191594,0.59941773570050161
e1a,marginal,-0.44946735641689289,0.85390146638940689,0.89598701666216296,0.59941773570050161
e1a,marginal,-0.48334997592304146,0.86542343071437478,0.90948925183036977,0.59941773570050161
e1a,marginal,-0.49101203628127033,0.8984575834202595,0.95387332521963375,0.59941773570050161
e1a,marginal,-0.56595966095046357,0.92215715001178333,0.98263994536019084,0.59941773570050161
e1a,marginal,-0.64856934597788563,1,1,0.59941773570050161
n4q29d43,joint,inf,0,0,0.55374419766571781
n4q29d43,joint,0.94046434003944224,4.3297935985214047e-05,9.2969331285296444e-06,0.55374419766571781
n4q29d43,joint,0.90079823175017615,0.00020190214824327327,8.286306692459569e-05,0.55374419766571781
n4q29d43,joint,0.86113212346091017,0.00033698388810257315,0.00023119895532354635,0.55374419766571781
n4q29d43,joint,0.84681546557328435,0.00045015910140565069,0.00035537941925462089,0.55374419766571781
n4q29d43,joint,0.84495320927408235,0.00061661873278190122,0.00053353605074664542,0.55374419766571781
n4q29d43,joint,0.82146601517164419,0.0007068697119862531,0.00075713974373750907,0.55374419766571781
n4q29d43,joint,0.80714935728401838,0.00093515018881048162,0.0010164577713582823,0.55374419766571781
n4q29d43,joint,0.80528710098481637,0.00134670819805061,0.0013635519215245875,0.55374419766571781
n4q29d43,joint,0.78179990688237821,0.0013523757742429641,0.0013700265713819564,0.55374419766571781
n4q29d43,joint,0.77729457990493123,0.0015506545417844678,0.0016348023967991654,0.55374419766571781
n4q29d43,joint,0.7674832489947524,0.001751943115285965,0.0018393349256268178,0.55374419766571781
n4q29d43,joint,0.7656209926955504,0.0020145667436628394,0.0023085706475816123,0.55374419766571781
n4q29d43,joint,0.75316659110712658,0.0020834290060959097,0.0024620945566996085,0.55374419766571781
n4q29d43,joint,0.75130433480792447,0.0023664335362918463,0.0028414841358419722,0.55374419766571781
n4q29d43,joint,0.74944207850872246,0.0025565210049337899,0.0030708984120381669,0.55374419766571781
n4q29d43,joint,0.74028592608689703,0.0026511431041789158,0.0032626891619798432,0.55374419766571781
n4q29d43,joint,0.73762847161566525,0.0031768865709198841,0.0037668973316017243,0.55374419766571781
n4q29d43,joint,0.72781714070548631,0.0032025331112319672,0.0037853407452579312,0.55374419766571781
n4q29d43,joint,0.72595488440628431,0.0032668762452542407,0.0038586630420802022,0.55374419766571781
n4q29d43,joint,0.71734426621942937,0.0035056681846159245,0.0040765754763422727,0.55374419766571781
n4q29d43,joint,0.71350048281786049,0.0036383079180759286,0.0042402886581524744,0.55374419766571781
n4q29d43,joint,0.71163822651865849,0.0040578863302550552,0.0046799319099258335,0.55374419766571781
n4q29d43,joint,0.70977597021945649,0.0044134012350615422,0.0050549998678092317,0.55374419766571781
