dataset,n,q,du,dv,score,evaluation_mode,target_s,threshold,selection_probability,baseline_failure_probability,conditional_failure_probability,amplification,gain_bits,ci_low,ci_high,frozen_score_sha256
e1a,2,19,3,2,marginal,frozen,4,0.58072025251387993,0,0.039730927950787739,NA,NA,NA,NA,NA,1d279c146e2eee4f3adceb01b22132025d8e21c2d66543ae65797c52496a6228
e1a,2,19,3,2,marginal,frozen,6,0.84832020095619409,0,0.039730927950787739,NA,NA,NA,NA,NA,1d279c146e2eee4f3adceb01b22132025d8e21c2d66543ae65797c52496a6228
e1a,2,19,3,2,marginal,frozen,8,1.0966912524904293,0,0.039730927950787739,NA,NA,NA,NA,NA,1d279c146e2eee4f3adceb01b22132025d8e21c2d66543ae65797c52496a6228
e1a,2,19,3,2,marginal,frozen,10,1.0966912524904293,0,0.039730927950787739,NA,NA,NA,NA,NA,1d279c146e2eee4f3adceb01b22132025d8e21c2d66543ae65797c52496a6228
n4q29d43,4,29,4,3,joint,recalibrated,2,0.24711209619970823,0.24998471513390541,0.0056098138447850943,0.0065429631224303147,1.1663422893279569,0.22199124192413025,0.10924657026946291,0.33418950795912628,1d279c146e2eee4f3adceb01b22132025d8e21c2d66543ae65797c52496a6228
n4q29d43,4,29,4,3,joint,recalibrated,4,0.45925355833105991,0.062131995131494477,0.0056098138447850943,0.006503573978718453,1.1593208185979651,0.21327985827978097,0.033496648869785511,0.389498677042662,1d279c146e2eee4f3adceb01b22132025d8e21c2d66543ae65797c52496a6228
n4q29d43,4,29,4,3,joint,recalibrated,6,0.60697094333147317,0.015470782469492406,0.0056098138447850943,0.0065727046387643135,1.1716439833158325,0.22853425787292084,-0.044080814417421101,0.46310665369809001,1d279c146e2eee4f3adceb01b22132025d8e21c2d66543ae65797c52496a6228
n4q29d43,4,29,4,3,joint,recalibrated,8,0.71163822651865849,0.0040613758901599795,0.0056098138447850943,0.0064642001949539686,1.1523020859173634,0.20451898129689849,-0.15063827889379705,0.53223850706935549,1d279c146e2eee4f3adceb01b22132025d8e21c2d66543ae65797c52496a6228
n4q29d43,4,29,4,3,joint,recalibrated,10,0.80714935728401838,0.00093560630921274424,0.0056098138447850943,0.0060945921615290274,1.0864161147155684,0.11957678422382867,-0.41830299007314203,0.57100739484144891,1d279c146e2eee4f3adceb01b22132025d8e21c2d66543ae65797c52496a6228
n4q29d43,4,29,4,3,joint,frozen,2,0.15332347181107994,0.38337624692940153,0.0056098138447850943,0.0065042499982122699,1.1594413251802727,0.21342981264169136,0.12353861091820888,0.30902093657398155,1d279c146e2eee4f3adceb01b22132025d8e21c2d66543ae65797c52496a6228
n4q29d43,4,29,4,3,joint,frozen,4,0.53479260319188826,0.032729973696405068,0.0056098138447850943,0.0064918755836159666,1.1572354739811626,0.21068245353767406,-0.0048556271294228764,0.41939758171412678,1d279c146e2eee4f3adceb01b22132025d8e21c2d66543ae65797c52496a6228
n4q29d43,4,29,4,3,joint,frozen,6,0.75316659110712658,0.0020855532493442297,0.0056098138447850943,0.0066226513927114651,1.1805474434535663,0.23945602128685448,-0.15003091234931071,0.61080128694932134,1d279c146e2eee4f3adceb01b22132025d8e21c2d66543ae65797c52496a6228
n4q29d43,4,29,4,3,joint,frozen,8,0.94046434003944224,4.3107196688652039e-05,0.0056098138447850943,0.0012098690748822537,0.21567009322545577,-2.2131019617210237,-inf,-0.64559121649946227,1d279c146e2eee4f3adceb01b22132025d8e21c2d66543ae65797c52496a6228
n4q29d43,4,29,4,3,joint,frozen,10,0.94046434003944224,4.3107196688652039e-05,0.0056098138447850943,0.0012098690748822537,0.21567009322545577,-2.2131019617210237,-inf,-0.64559121649946227,1d279c146e2eee4f3adceb01b22132025d8e21c2d66543ae65797c52496a6228
n4q29d43,4,29,4,3,marginal,recalibrated,2,0.27820507711795822,0.25110955614945851,0.0056098138447850943,0.0065602764526223661,1.1694285468529095,0.22580371440500846,0.1187537890001282,0.33980240315538596,1d279c146e2eee4f3adceb01b22132025d8e21c2d66543ae65797c52496a6228
n4q29d43,4,29,4,3,marginal,recalibrated,4,0.52387907903605657,0.062251412018667907,0.0056098138447850943,0.0067718009382609643,1.2071346974474131,0.27158666739123305,0.089697864648132675,0.44925469686694963,1d279c146e2eee4f3adceb01b22132025d8e21c2d66543ae65797c52496a6228
n4q29d43,4,29,4,3,marginal,recalibrated,6,0.69374788680284827,0.0157789311488159,0.0056098138447850943,0.0066691407704987486,1.1888345950549517,0.24954800398714444,-0.035743642049384593,0.51311778445669576,1d279c146e2eee4f3adceb01b22132025d8e21c2d66543ae65797c52496a6228
n4q29d43,4,29,4,3,marginal,recalibrated,8,0.81933839135892783,0.0039630666142329574,0.0056098138447850943,0.006280564199738309,1.1195673107008259,0.16294126860590175,-0.2023007965881132,0.49686887892346193,1d279c146e2eee4f3adceb01b22132025d8e21c2d66543ae65797c52496a6228
n4q29d43,4,29,4,3,marginal,recalibrated,10,0.93092988598361615,0.0008367213886231184,0.0056098138447850943,0.0052675647405411316,0.9389910051004422,-0.090816756986097494,-0.72514604131691274,0.48920105414285231,1d279c146e2eee4f3adceb01b22132025d8e21c2d66543ae65797c52496a6228
n4q29d43,4,29,4,3,marginal,frozen,2,0.15556299437495036,0.39756155619397759,0.0056098138447850943,0.0064843021141540568,1.1558854346266572,0.20899841246947351,0.12162056617708382,0.30451887289700297,1d279c146e2eee4f3adceb01b22132025d8e21c2d66543ae65797c52496a6228
n4q29d43,4,29,4,3,marginal,frozen,4,0.58072025251387993,0.04217154424986802,0.0056098138447850943,0.006625616714378787,1.1810760388311259,0.24010184984360591,0.025465875778106117,0.45534202630816856,1d279c146e2eee4f3adceb01b22132025d8e21c2d66543ae65797c52496a6228
n4q29d43,4,29,4,3,marginal,frozen,6,0.84832020095619409,0.0025460768956691027,0.0056098138447850943,0.0062732292077129544,1.1182597821039237,0.16125537853575478,-0.30112603710304758,0.59464085816574319,1d279c146e2eee4f3adceb01b22132025d8e21c2d66543ae65797c52496a6228
n4q29d43,4,29,4,3,marginal,frozen,8,1.0966912524904293,3.4024938941001892e-05,0.0056098138447850943,0.00094432583347019215,0.16833461137895714,-2.5705962543396264,-inf,-0.78676726448516487,1d279c146e2eee4f3adceb01b22132025d8e21c2d66543ae65797c52496a6228
n4q29d43,4,29,4,3,marginal,frozen,10,1.0966912524904293,3.4024938941001892e-05,0.0056098138447850943,0.00094432583347019215,0.16833461137895714,-2.5705962543396264,-inf,-0.78676726448516487,1d279c146e2eee4f3adceb01b22132025d8e21c2d66543ae65797c52496a6228
n4q19d43,4,19,4,3,joint,recalibrated,2,0.063274860862775686,0.24973195299389772,0.0505453817313537,0.055606675202583743,1.1001336481764166,0.13767879815813916,0.089544761433172401,0.18327267218457802,1d279c146e2eee4f3adceb01b22132025d8e21c2d66543ae65797c52496a6228
n4q19d43,4,19,4,3,joint,recalibrated,4,0.23511608500986056,0.062607781175756827,0.0505453817313537,0.056937426212510162,1.1264614938537783,0.17179799837079102,0.085618173364523389,0.25034045761959128,1d279c146e2eee4f3adceb01b22132025d8e21c2d66543ae65797c52496a6228
n4q19d43,4,19,4,3,joint,recalibrated,6,0.37409555160838825,0.015925849846098572,0.0505453817313537,0.059184266289482146,1.1709134299161832,0.22763441584984467,0.09779900034809022,0.34565279830622098,1d279c146e2eee4f3adceb01b22132025d8e21c2d66543ae65797c52496a6228
n4q19d43,4,19,4,3,joint,recalibrated,8,0.4765221415087979,0.0038907247362658381,0.0505453817313537,0.060110439010168167,1.1892370173333005,0.25003627576822485,0.10420175624599531,0.40321010996456136,1d279c146e2eee4f3adceb01b22132025d8e21c2d66543ae65797c52496a6228
n4q19d43,4,19,4,3,joint,recalibrated,10,0.57432102707192589,0.00095368936308659613,0.0505453817313537,0.062560261729268984,1.2377048028200439,0.3076672674677754,0.054548055030841321,0.53431959138845775,1d279c146e2eee4f3adceb01b22132025d8e21c2d66543ae65797c52496a6228
n4q19d43,4,19,4,3,joint,frozen,2,0.15332347181107994,0.13195105496561155,0.0505453817313537,0.056525381884164963,1.1183095259739986,0.1613195529250073,0.095110721055904138,0.22647553739368612,1d279c146e2eee4f3adceb01b22132025d8e21c2d66543ae65797c52496a6228
n4q19d43,4,19,4,3,joint,frozen,4,0.53479260319188826,0.0017558342660777271,0.0505453817313537,0.061356914169708517,1.2138975326334975,0.27964664614005397,0.085432299484809487,0.47168857763796973,1d279c146e2eee4f3adceb01b22132025d8e21c2d66543ae65797c52496a6228
n4q19d43,4,19,4,3,joint,frozen,6,0.75316659110712658,4.1229388443753123e-05,0.0505453817313537,0.060862708778785725,1.2041200737639717,0.26797926351487006,-0.37841449880448952,0.8218642309583144,1d279c146e2eee4f3adceb01b22132025d8e21c2d66543ae65797c52496a6228
n4q19d43,4,19,4,3,joint,frozen,8,0.94046434003944224,5.9214653447270393e-07,0.0505453817313537,0.055588322028900031,1.0997705452962907,0.13720255311910393,-1.5967051990960275,1.3547945668461956,1d279c146e2eee4f3adceb01b22132025d8e21c2d66543ae65797c52496a6228
n4q19d43,4,19,4,3,joint,frozen,10,0.94046434003944224,5.9214653447270393e-07,0.0505453817313537,0.055588322028900031,1.0997705452962907,0.13720255311910393,-1.5967051990960275,1.3547945668461956,1d279c146e2eee4f3adceb01b22132025d8e21c2d66543ae65797c52496a6228
n4q19d43,4,19,4,3,marginal,recalibrated,2,0.063488342585473451,0.24918493084260263,0.0505453817313537,0.055745628161992092,1.1028827214774528,0.14127938554523442,0.092318699948705979,0.19491177769136731,1d279c146e2eee4f3adceb01b22132025d8e21c2d66543ae65797c52496a6228
n4q19d43,4,19,4,3,marginal,recalibrated,4,0.2699956074528807,0.062158039509085938,0.0505453817313537,0.056560529735450782,1.1190048981342609,0.16221635132640866,0.06707652784224051,0.25449873065703466,1d279c146e2eee4f3adceb01b22132025d8e21c2d66543ae65797c52496a6228
n4q19d43,4,19,4,3,marginal,recalibrated,6,0.43039403560273803,0.015503933595027775,0.0505453817313537,0.057541149198726479,1.1384056708594061,0.18701475364284953,0.035069079670073659,0.34302605500055811,1d279c146e2eee4f3adceb01b22132025d8e21c2d66543ae65797c52496a6228
n4q19d43,4,19,4,3,marginal,recalibrated,8,0.56135289137065314,0.0039678158645983785,0.0505453817313537,0.05948406592191486,1.1768447261526254,0.23492398257928571,0.014918022461727616,0.46413551705398826,1d279c146e2eee4f3adceb01b22132025d8e21c2d66543ae65797c52496a6228
n4q19d43,4,19,4,3,marginal,recalibrated,10,0.67294438599534145,0.00099461735226213932,0.0505453817313537,0.059147953263329299,1.1701950057019621,0.22674896597671837,-0.069710193552766322,0.52551817763137809,1d279c146e2eee4f3adceb01b22132025d8e21c2d66543ae65797c52496a6228
n4q19d43,4,19,4,3,marginal,frozen,2,0.15556299437495036,0.1445806622505188,0.0505453817313537,0.056300712819876725,1.113864628011167,0.15557390739583429,0.088609581455914299,0.22587653273519065,1d279c146e2eee4f3adceb01b22132025d8e21c2d66543ae65797c52496a6228
n4q19d43,4,19,4,3,marginal,frozen,4,0.58072025251387993,0.0029464721737895161,0.0505453817313537,0.060532953507226435,1.1975961291371031,0.26014146344640027,0.020023418473773633,0.49169401005037938,1d279c146e2eee4f3adceb01b22132025d8e21c2d66543ae65797c52496a6228
n4q19d43,4,19,4,3,marginal,frozen,6,0.84832020095619409,6.258217035792768e-05,0.0505453817313537,0.079590030632835221,1.5746251765562371,0.65500845065754953,-0.11880166761534719,1.3280311346117468,1d279c146e2eee4f3adceb01b22132025d8e21c2d66543ae65797c52496a6228
n4q19d43,4,19,4,3,marginal,frozen,8,1.0966912524904293,9.0803951025009155e-08,0.0505453817313537,0.0076923076923076927,0.15218616278717495,-2.7160909041525838,-inf,4.3417163050728984,1d279c146e2eee4f3adceb01b22132025d8e21c2d66543ae65797c52496a6228
n4q19d43,4,19,4,3,marginal,frozen,10,1.0966912524904293,9.0803951025009155e-08,0.0505453817313537,0.0076923076923076927,0.15218616278717495,-2.7160909041525838,-inf,4.3417163050728984,1d279c146e2eee4f3adceb01b22132025d8e21c2d66543ae65797c52496a6228
